NÚMERO DE VACAS,STOC,ÍNDICE,TOURO NAAB,NAAB,NOME CURTO,INB %,NAAB,NOME CURTO,INB %,NAAB,NOME CURTO,INB %
199,CN,-296,799HO00004,011HO17733,AltaFANZONE,0.05,011HO17399,AltaINSPIRE 4,0.00,011HO17721,AltaYOSHI,0.05
208,CN,194,029HO18545,011HO17721,AltaYOSHI,2.41,011HO17733,AltaFANZONE,3.60,,,
209,CN,184,777HO11028,011HO17721,AltaYOSHI,1.35,011HO17399,AltaINSPIRE 4,2.22,011HO17733,AltaFANZONE,2.16
212,CN,-290,094HO18518,011HO17733,AltaFANZONE,0.00,011HO17721,AltaYOSHI,0.00,,,
214,CN,210,029HO18693,011HO17733,AltaFANZONE,3.31,011HO17399,AltaINSPIRE 4,2.82,011HO17721,AltaYOSHI,2.40
217,CN,174,029HO18545,011HO17721,AltaYOSHI,1.95,011HO17733,AltaFANZONE,2.88,,,
222,CN,122,029HO19223,011HO17721,AltaYOSHI,0.88,011HO17733,AltaFANZONE,1.61,011HO17399,AltaINSPIRE 4,1.51
228,CN,31,007HO13740,011HO17399,AltaINSPIRE 4,1.74,011HO17721,AltaYOSHI,1.15,011HO17733,AltaFANZONE,0.94
229,CN,115,551HO03696,011HO17721,AltaYOSHI,1.51,011HO17733,AltaFANZONE,2.71,011HO17399,AltaINSPIRE 4,1.95
231,CN,-50,011HO12124,011HO17399,AltaINSPIRE 4,2.02,011HO17721,AltaYOSHI,1.07,011HO17733,AltaFANZONE,1.70
233,CN,-228,200HO11127,011HO17733,AltaFANZONE,0.96,011HO17721,AltaYOSHI,0.23,,,
235,CN,8,007HO12788,011HO17399,AltaINSPIRE 4,2.04,011HO17721,AltaYOSHI,6.14,011HO17733,AltaFANZONE,4.29
236,CN,233,200HO11387,011HO17733,AltaFANZONE,3.70,011HO17721,AltaYOSHI,2.02,,,
238,CN,-83,029HO17971,011HO17733,AltaFANZONE,0.91,011HO17721,AltaYOSHI,0.38,011HO17399,AltaINSPIRE 4,0.81
240,CN,94,011HO12124,011HO17399,AltaINSPIRE 4,2.78,011HO17721,AltaYOSHI,1.60,011HO17733,AltaFANZONE,2.82
241,CN,93,011HO12124,011HO17399,AltaINSPIRE 4,2.42,011HO17721,AltaYOSHI,1.08,011HO17733,AltaFANZONE,2.15
243,CN,182,029HO18787,011HO17721,AltaYOSHI,4.12,011HO17399,AltaINSPIRE 4,2.44,011HO17733,AltaFANZONE,5.03
243,CN,187,029HO18693,011HO17399,AltaINSPIRE 4,2.87,011HO17733,AltaFANZONE,3.41,011HO17721,AltaYOSHI,2.69
244,CN,-136,029HO18439,011HO17733,AltaFANZONE,0.89,011HO17721,AltaYOSHI,0.49,011HO17399,AltaINSPIRE 4,0.77
252,CN,187,029HO18693,011HO17399,AltaINSPIRE 4,2.87,011HO17733,AltaFANZONE,3.41,011HO17721,AltaYOSHI,2.69
